iter	Passed	Remaining
0	0	67
1	1	62
2	1	63
3	2	57
4	3	57
5	3	57
6	4	56
7	4	55
8	5	55
9	6	54
10	6	53
11	7	53
12	7	52
13	8	52
14	9	52
15	9	52
16	10	51
17	11	51
18	11	50
19	12	50
20	13	49
21	13	49
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	46
28	18	45
29	19	45
30	20	44
31	20	43
32	21	43
33	22	42
34	22	42
35	23	41
36	23	40
37	24	39
38	25	39
39	25	38
40	26	37
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	50	13
79	50	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	63	1
98	63	0
99	64	0
