iter	RMSE
0	14.61821615
1	14.26792317
2	13.92595025
3	13.59254545
4	13.28816853
5	12.97385969
6	12.67947982
7	12.38158623
8	12.07444234
9	11.78213851
10	11.53271542
11	11.26961891
12	11.01121022
13	10.79493845
14	10.56915039
15	10.33955264
16	10.11803793
17	9.932339292
18	9.752872733
19	9.551828865
20	9.378384562
21	9.201100772
22	9.0410879
23	8.868931166
24	8.721873424
25	8.572633244
26	8.4375798
27	8.304081036
28	8.176995417
29	8.060572499
30	7.925704008
31	7.814490925
32	7.696272716
33	7.605286444
34	7.508508047
35	7.418257542
36	7.321269445
37	7.229623417
38	7.149515586
39	7.06951764
40	6.985287821
41	6.920182612
42	6.853323712
43	6.78758854
44	6.716404107
45	6.64793433
46	6.591593705
47	6.53596
48	6.476835463
49	6.422526005
50	6.378505873
51	6.327264908
52	6.286826533
53	6.240750255
54	6.194741664
55	6.145887592
56	6.112206759
57	6.07589785
58	6.035993621
59	6.001643205
60	5.970005988
61	5.932161751
62	5.897160197
63	5.868160399
64	5.83936933
65	5.815746426
66	5.786670877
67	5.759749145
68	5.74360083
69	5.722451661
70	5.701430818
71	5.677797681
72	5.657117442
73	5.637877769
74	5.628725177
75	5.606442621
76	5.587215223
77	5.568940663
78	5.549607472
79	5.535555811
80	5.518427899
81	5.500940982
82	5.485953339
83	5.468867863
84	5.456324248
85	5.443916169
86	5.429922685
87	5.414521846
88	5.398636558
89	5.385594201
90	5.375732508
91	5.362667237
92	5.353376542
93	5.340417442
94	5.3269045
95	5.314353273
96	5.303090389
97	5.29481489
98	5.286363987
99	5.272437317
100	5.263371647
101	5.256577448
102	5.251684845
103	5.245538638
104	5.236717044
105	5.231541534
106	5.222089671
107	5.214884525
108	5.207701524
109	5.203289799
110	5.197881965
111	5.192625543
112	5.18687235
113	5.179671209
114	5.173189116
115	5.166181104
116	5.161667325
117	5.155851357
118	5.150861917
119	5.145164207
120	5.143456237
121	5.137827463
122	5.131398826
123	5.127646441
124	5.121043827
125	5.113059229
126	5.109646134
127	5.103794395
128	5.099936646
129	5.093281045
130	5.08776196
131	5.084197878
132	5.079774496
133	5.075316035
134	5.072154447
135	5.066278281
136	5.060244654
137	5.052559145
138	5.04871547
139	5.044491141
140	5.038645019
141	5.031809198
142	5.026073946
143	5.022761693
144	5.019210288
145	5.01575855
146	5.012371786
147	5.005162731
148	4.998569905
149	4.994738069
150	4.991847193
151	4.987954276
152	4.98548687
