iter	Passed	Remaining
0	134	133871
1	134	67099
2	135	44913
3	135	33808
4	136	27139
5	136	22693
6	137	19532
7	138	17163
8	138	15305
9	139	13818
10	140	12606
11	140	11594
12	141	10742
13	142	10003
14	142	9367
15	143	8816
16	144	8329
17	145	7916
18	145	7520
19	146	7170
20	147	6854
21	147	6561
22	148	6297
23	148	6054
24	149	5836
25	150	5630
26	151	5442
27	151	5265
28	152	5101
29	152	4942
30	153	4797
31	154	4662
32	154	4535
33	155	4414
34	156	4302
35	156	4197
36	157	4095
37	157	3994
38	158	3899
39	158	3810
40	159	3728
41	159	3649
42	160	3574
43	161	3501
44	161	3431
45	162	3366
46	162	3302
47	163	3243
48	164	3184
49	164	3128
50	165	3074
51	165	3022
52	166	2971
53	166	2923
54	167	2876
55	167	2831
56	168	2788
57	169	2746
58	169	2707
59	170	2667
60	170	2629
61	171	2593
62	171	2557
63	172	2521
64	172	2488
65	173	2457
66	174	2425
67	174	2395
68	175	2363
69	175	2333
70	176	2305
71	176	2278
72	177	2254
73	178	2227
74	178	2199
75	178	2173
76	179	2149
77	179	2125
78	180	2102
79	181	2082
80	181	2063
81	182	2042
82	182	2021
83	183	2001
84	184	1980
85	184	1961
86	185	1942
87	185	1923
88	186	1905
89	186	1887
90	187	1870
91	188	1856
92	188	1841
93	189	1826
94	190	1811
95	190	1797
96	191	1783
97	192	1769
98	192	1754
99	193	1741
100	194	1727
101	194	1714
102	195	1700
103	196	1689
104	196	1678
105	197	1666
106	198	1655
107	199	1644
108	199	1633
109	200	1621
110	201	1610
111	201	1599
112	202	1587
113	202	1576
114	203	1564
115	203	1553
116	204	1543
117	205	1533
118	205	1523
119	206	1513
120	206	1502
121	207	1493
122	208	1483
123	208	1474
124	209	1464
125	209	1454
126	210	1445
127	210	1435
128	211	1426
129	211	1417
130	212	1408
131	212	1399
132	213	1391
133	214	1383
134	214	1374
135	215	1366
136	215	1358
137	216	1350
138	216	1342
139	217	1334
140	217	1327
141	218	1320
142	219	1313
143	219	1305
144	220	1298
145	220	1291
146	221	1284
147	221	1277
148	222	1270
149	222	1263
150	223	1256
151	223	1249
152	224	1242
153	225	1236
154	225	1229
155	225	1222
156	226	1215
157	226	1209
158	227	1203
159	227	1196
160	228	1190
161	229	1184
162	229	1178
163	230	1172
164	230	1166
165	231	1162
166	231	1157
167	232	1151
168	233	1146
169	233	1140
170	234	1135
171	234	1129
172	235	1124
173	235	1119
174	236	1114
175	236	1108
176	237	1103
177	238	1099
178	238	1095
179	239	1090
180	239	1085
181	240	1081
182	241	1076
183	241	1071
184	242	1066
185	242	1061
186	243	1057
187	243	1052
188	244	1048
189	244	1044
190	245	1039
191	246	1035
192	246	1031
193	247	1027
194	247	1023
195	248	1019
196	249	1015
197	249	1010
198	250	1006
199	250	1002
200	251	999
201	251	995
202	252	991
203	253	987
204	253	983
205	254	979
206	254	975
207	255	971
208	255	967
209	256	964
210	256	960
211	257	957
212	258	953
213	258	949
214	259	946
215	259	942
216	260	938
217	260	935
218	261	931
219	261	928
220	262	925
221	263	922
